"Time"	YJL206C	YDR167W	YDR166C	YGL262W	YHL008C
700	0.9862069	0.9550163	0.2485513	1.0746280	0.0104368
750	0.9447312	1.0143528	0.1483152	1.0914380	0.0149261
800	0.9646773	1.0412764	0.1593273	1.0519062	0.0063118
850	0.9413826	1.0808918	0.1547850	1.0865077	0.0152943
900	0.9427912	1.0312623	0.1606582	1.0331449	0.0083010
950	0.9585517	0.9789105	0.1339560	1.1926506	0.0055193
1000	1.0577037	1.0701202	0.1232124	1.2679622	0.0097354

0	1.0679719	0.9217333	0.1225007	0.9815080	0.0152709
50	1.0963789	0.9439855	0.0755702	0.9259028	0.0112496
100	0.9755683	0.9201872	0.0743605	1.0455162	0.0028628
150	0.9747370	0.9280784	0.0589852	1.0478536	0.0032527
200	0.9794620	0.9629970	0.0624070	1.1094482	0.0016277
250	0.9545858	0.9973958	0.0493282	1.0497128	0.0002058
300	0.9670646	1.0474096	0.0591432	0.9916212	0.0006092
350	0.8676761	1.1472869	0.0465465	0.9605201	0.0009464
400	0.9760340	1.2017848	0.1001511	1.0708545	0.0002418
450	0.9817643	1.0474666	0.0700041	1.0889573	0.0006700
500	0.9692556	1.0870252	0.0309827	1.0940713	0.0013730
550	1.0127631	1.0094368	0.0884760	1.0107474	0.0044855
600	0.9338968	0.9604594	0.1001865	1.0242815	0.0081881
650	0.9482193	1.0271855	0.1256061	1.1492828	0.0026723
700	1.0888259	1.0257680	0.1470397	1.0779842	0.0103004
750	1.0400769	0.9976106	0.1266401	1.0014179	0.0108655
800	0.9898152	0.9934630	0.1374895	0.9527474	0.0081146
850	0.9683608	1.0038104	0.1152064	0.9829227	0.0063741
900	1.0014435	1.0457301	0.1396001	1.0259195	0.0147418
950	1.0137892	1.0431230	0.1506700	1.0365525	0.0212495
1000	0.9943755	0.9876299	0.1374631	0.9953933	0.0223288

0	1.0679719	0.9217333	0.1225007	0.9815080	0.0152709
50	0.9037946	1.0108344	0.1199194	0.9360520	0.0120184
100	0.6766258	0.9750843	0.1295475	0.8884096	0.0042610
150	0.6290678	0.9975035	0.2172418	1.0191237	0.0017707
200	0.6926655	1.0046796	0.2919242	0.9806664	0.0009280
250	0.7087600	1.0267324	0.3346132	1.0923279	0.0018263
300	0.7296321	1.0350538	0.4067149	1.0840752	0.0020265
350	0.7360142	0.9077597	0.3306098	1.0343126	0.0026948
400	0.7338827	0.9456119	0.2975161	1.0387519	0.0052738
450	0.7716785	0.9697763	0.3126561	0.9317496	0.0007706
500	0.7356428	0.9423512	0.2866273	1.0006725	0.0005508
550	0.8149847	0.9821076	0.3267189	0.9356460	0.0030468
600	0.8541812	1.0766214	0.2738636	0.9352834	0.0077850
650	0.9951035	1.0101632	0.2304431	0.9432929	0.0158136
700	1.0659721	1.0052200	0.1377237	0.9678232	0.0277507
750	1.0672753	1.0683746	0.1207397	0.9695824	0.0210878
800	1.0600264	1.0553545	0.1287714	0.9334055	0.0111986
850	0.9210487	1.0214370	0.1246147	0.9703839	0.0011793
900	0.9816340	1.0613670	0.1275595	1.1239272	0.0107271
950	0.9221758	0.9898745	0.1215087	0.9695813	0.0035090
1000	0.9608691	0.9103820	0.1692063	1.0698000	0.0030402

0	1.0679719	0.9217333	0.1225007	0.9815080	0.0152709
50	1.0056461	1.0709923	0.0726367	1.0108202	0.0097215
100	1.0823802	1.0567286	0.0457328	1.0009011	0.0056254
150	0.9663054	1.0628695	0.0503633	1.0043610	0.0017708
200	0.9804088	0.9702082	0.0632959	1.0987513	0.0043842
250	0.9238107	0.9947582	0.0734667	1.0075121	0.0009275
300	0.9390632	1.0545900	0.0734048	0.9734616	0.0025424
350	1.0272297	0.9433305	0.0503012	1.0244635	0.0005453
400	0.9955740	1.0133224	0.0237154	1.0086596	0.0011178
450	1.0185320	0.9530633	0.0398601	1.0416608	0.0000714
500	1.1300904	1.0159593	0.0260048	0.9838524	0.0004002
550	1.0416253	0.9455033	0.0795615	1.0475129	0.0004107
600	1.0061804	0.9430110	0.0770896	1.0360445	0.0071294
650	0.9784104	0.9229221	0.0757935	1.0371468	0.0064088
700	0.9836272	0.9469552	0.0923382	1.1373991	0.0225950
750	1.0209659	0.9253203	0.1040337	1.1137205	0.0122269
800	1.0197854	0.9182855	0.0966771	1.0117928	0.0231308
850	0.9952089	0.9853727	0.1317994	1.0267470	0.0095930
900	0.9359042	1.0735525	0.1467631	1.0950207	0.0165512
950	1.0841288	1.0121302	0.1424749	1.0436309	0.0225455
1000	1.0171735	1.0205585	0.1106517	0.9774057	0.0151326

0	1.0679719	0.9217333	0.1225007	0.9815080	0.0152709
50	0.9425191	1.0298946	0.1043094	0.9714823	0.0162402
100	1.0678231	1.0193248	0.1424843	1.0321286	0.0122116
150	0.9893456	0.9972206	0.1239037	1.0200491	0.0136207
200	1.0081875	0.9817003	0.1403549	0.9622636	0.0088674
250	1.0901222	1.0005043	0.1021442	0.9267725	0.0049043
300	1.1178504	1.0934328	0.1526039	0.9393667	0.0193906
350	1.2139855	1.0561363	0.0827732	1.0238925	0.0152314
400	1.0963709	1.0524580	0.0767162	0.9453358	0.0302904
450	1.0353849	0.9803323	0.1065239	0.9482252	0.0241830
500	1.0505470	0.9500588	0.1278322	0.9362820	0.0271915
550	0.9910825	0.9867342	0.1493414	0.9817016	0.0233790
600	0.9533024	0.9897591	0.1444748	1.0349650	0.0070797
650	0.9572184	0.9600967	0.1319167	0.9795700	0.0154076
700	1.0036536	0.9784609	0.1220223	0.9369392	0.0021921
750	0.9639163	1.0109071	0.1929756	0.9084702	0.0016100
