"Time"	YJL206C	YDR167W	YDR166C	YGL262W	YHL008C
700	0.9937748	0.9989710	0.1966850	0.9999975	0.0133040
750	0.9980733	0.9995408	0.1643747	0.9999984	0.0131898
800	0.9994037	0.9996798	0.1482154	0.9999986	0.0131468
850	0.9998154	0.9997146	0.1404625	0.9999987	0.0131309
900	0.9999429	0.9997236	0.1368412	0.9999987	0.0131252
950	0.9999823	0.9997261	0.1351804	0.9999987	0.0131232
1000	0.9999945	0.9997267	0.1344285	0.9999987	0.0131225

0	1.0000000	0.9997270	0.1338406	0.9999987	0.0131222
50	1.0000000	0.9997270	0.0897005	0.9999989	0.0040893
100	1.0000000	0.9997270	0.0703331	0.9999989	0.0013847
150	1.0000000	0.9997270	0.0618353	0.9999989	0.0005749
200	1.0000000	0.9997270	0.0581067	0.9999989	0.0003324
250	1.0000000	0.9997270	0.0564707	0.9999989	0.0002598
300	1.0000000	0.9997270	0.0557529	0.9999989	0.0002381
350	1.0000000	0.9997270	0.0554379	0.9999989	0.0002316
400	1.0000000	0.9997270	0.0552997	0.9999989	0.0002296
450	1.0000000	0.9997270	0.0552391	0.9999989	0.0002290
500	1.0000000	0.9997270	0.0552125	0.9999989	0.0002289
550	1.0000000	0.9997270	0.0993300	0.9999988	0.0092616
600	1.0000000	0.9997270	0.1186875	0.9999987	0.0119662
650	1.0000000	0.9997270	0.1271810	0.9999987	0.0127760
700	1.0000000	0.9997270	0.1309077	0.9999987	0.0130185
750	1.0000000	0.9997270	0.1325429	0.9999987	0.0130911
800	1.0000000	0.9997270	0.1332603	0.9999987	0.0131128
850	1.0000000	0.9997270	0.1335751	0.9999987	0.0131193
900	1.0000000	0.9997270	0.1337132	0.9999987	0.0131213
950	1.0000000	0.9997270	0.1337738	0.9999987	0.0131218
1000	1.0000000	0.9997270	0.1338004	0.9999987	0.0131220

0	1.0000000	0.9997270	0.1338406	0.9999987	0.0131222
50	0.8306561	0.9996567	0.1430702	0.9999984	0.0039362
100	0.7782434	0.9994066	0.1740662	0.9999974	0.0011888
150	0.7620215	0.9991115	0.2091314	0.9999964	0.0003688
200	0.7570007	0.9989027	0.2353909	0.9999957	0.0001247
250	0.7554468	0.9987931	0.2513484	0.9999953	0.0000522
300	0.7549658	0.9987448	0.2599745	0.9999952	0.0000307
350	0.7548170	0.9987257	0.2643216	0.9999951	0.0000243
400	0.7547709	0.9987186	0.2664175	0.9999951	0.0000224
450	0.7547566	0.9987161	0.2673990	0.9999951	0.0000219
